time_myr,z3_chabrier,z3_topheavy,z6_chabrier,z6_topheavy,z9_chabrier,z9_topheavy
8.250000000000000000e+01,9.203934210112818604e+11,6.440954480235252930e+12,7.601071504760460205e+11,5.319263963162912109e+12,3.127515868960572510e+11,2.188649645719439697e+12
8.300000000000000000e+01,9.303464762493168945e+11,6.508035331590181641e+12,7.655187468523343506e+11,5.355018994208060547e+12,3.127820255111964722e+11,2.187998262023515869e+12
8.350000000000000000e+01,9.403182591720396729e+11,6.575233394406722656e+12,7.708959856698269043e+11,5.390537702685344727e+12,3.127828945615972290e+11,2.187153672131696045e+12
8.400000000000000000e+01,9.503084847476499023e+11,6.642546850865722656e+12,7.762387568481268311e+11,5.425819502380483398e+12,3.127546577643980713e+11,2.186119034366146973e+12
8.450000000000000000e+01,9.603168711104329834e+11,6.709973902815787109e+12,7.815469560541075439e+11,5.460863842665031250e+12,3.126977760479868774e+11,2.184897485268946289e+12
8.500000000000000000e+01,9.703431395060437012e+11,6.777512771445301758e+12,7.868204845786702881e+11,5.495670207738409180e+12,3.126127074695389404e+11,2.183492139151356689e+12
8.550000000000000000e+01,9.803870142381885986e+11,6.845161696962517578e+12,7.920592492163597412e+11,5.530238115887034180e+12,3.124999071370293579e+11,2.181906087669815430e+12
8.600000000000000000e+01,9.904482226166523438e+11,6.912918938283438477e+12,7.972631621477535400e+11,5.564567118760037109e+12,3.123598271355583496e+11,2.180142399427673096e+12
8.650000000000000000e+01,1.000526494906637695e+12,6.980782772727332031e+12,8.024321408245319824e+11,5.598656800661044922e+12,3.121929164578351440e+11,2.178204119601771240e+12
8.700000000000000000e+01,1.010621564279359741e+12,7.048751495719534180e+12,8.075661078571708984e+11,5.632506777855713867e+12,3.119996209386627197e+11,2.176094269592899170e+12
8.750000000000000000e+01,1.020733166763866089e+12,7.116823420501365234e+12,8.126649909051558838e+11,5.666116697894374023e+12,3.117803831932852783e+11,2.173815846699311523e+12
8.800000000000000000e+01,1.030861041200032715e+12,7.184996877846904297e+12,8.177287225696704102e+11,5.699486238949578125e+12,3.115356425594515381e+11,2.171371823812423584e+12
8.850000000000000000e+01,1.041004929192709839e+12,7.253270215786463867e+12,8.227572402886671143e+11,5.732615109167964844e+12,3.112658350430635986e+11,2.168765149133902344e+12
8.900000000000000000e+01,1.051164575066964600e+12,7.321641799336450195e+12,8.277504862342686768e+11,5.765503046036166016e+12,3.109713932672756348e+11,2.165998745913345215e+12
8.950000000000000000e+01,1.061339725824404419e+12,7.390110010235572266e+12,8.327084072124237061e+11,5.798149815760292969e+12,3.106527464249214478e+11,2.163075512205797607e+12
9.000000000000000000e+01,1.071530131100536011e+12,7.458673246687043945e+12,8.376309545647641602e+11,5.830555212658745117e+12,3.103103202341441650e+11,2.159998320648384033e+12
9.050000000000000000e+01,1.081735543123118408e+12,7.527329923106664062e+12,8.425180840725906982e+11,5.862719058567809570e+12,3.099445368971163940e+11,2.156770018255343262e+12
9.100000000000000000e+01,1.091955716671511108e+12,7.596078469876679688e+12,8.473697558629437256e+11,5.894641202259938477e+12,3.095558150617315674e+11,2.153393426230775391e+12
