time_myr,r_over_R0,radius_cm,velocity_km_s,pressure_erg_cm3,sfr_msun_yr,gas_msun,formed_msun,incident_shell_msun,central_gas_msun,other_shell_msun,halo_msun,gravity_dyne,accretion_dyne,pressure_dyne,uv_dyne,lya_dyne,sn_per_myr,uv_erg_s,lya_erg_s,shell_temperature_K,force_multiplier,shell_loading_msun_myr
1.415000000000000000e+02,2.285964922836774438e+00,9.019017552154810122e+20,-6.423628464931866233e+00,4.216501488258403803e-11,0.000000000000000000e+00,2.722845056453558803e+07,2.452417822951637208e+04,2.722845056453558803e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.733824221364873052e+08,-2.450725538080431397e+32,-5.251734998834429925e+30,4.310032909086704310e+32,2.937636084064373336e+22,3.772968770133053691e+27,0.000000000000000000e+00,2.680172305567788113e+38,8.093864697440994244e+35,1.000000000000000000e+04,1.397487632716473627e+02,1.059937526744390634e+05
1.420000000000000000e+02,2.259881354791026808e+00,8.921889142963050906e+20,-5.882979199702754514e+00,4.446618079046399201e-11,0.000000000000000000e+00,2.728149900387497991e+07,2.452417822951637208e+04,2.728149900387497991e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.737199143548611999e+08,-2.485452192156057562e+32,-5.629934903712671178e+30,4.447882836948781701e+32,2.996039121369170549e+22,3.764517786428486735e+27,0.000000000000000000e+00,2.669697767576010656e+38,8.015025503761580713e+35,1.000000000000000000e+04,1.408072924844040870e+02,1.062000715519992809e+05
1.425000000000000000e+02,2.236044542335236862e+00,8.833506802754546565e+20,-5.315355932687892526e+00,4.668890926931338573e-11,0.000000000000000000e+00,2.733465070302152261e+07,2.452417822951637208e+04,2.733465070302152261e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.740580635083272457e+08,-2.518473673056416556e+32,-6.027676207799252770e+30,4.578148629062781571e+32,3.050212539404922336e+22,3.753749448496913841e+27,0.000000000000000000e+00,2.659206645451438914e+38,7.936493781233700276e+35,1.000000000000000000e+04,1.417938204074423254e+02,1.064067920332216163e+05
1.430000000000000000e+02,2.214553762444703811e+00,8.754280118424774902e+20,-4.722869785814790333e+00,4.879134574198735028e-11,0.000000000000000000e+00,2.738790586297242343e+07,2.452417822951637208e+04,2.738790586297242343e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.743968708756222427e+08,-2.549520152793769121e+32,-6.443650593846144364e+30,4.698871178576754458e+32,3.099664530627225662e+22,3.741222968676288223e+27,0.000000000000000000e+00,2.648902531802155446e+38,7.859769535958406695e+35,1.000000000000000000e+04,1.427001675525281996e+02,1.066139148998353630e+05
1.435000000000000000e+02,2.195498661534563301e+00,8.684581622095968993e+20,-4.108105467311996328e+00,5.073013407691462219e-11,0.000000000000000000e+00,2.744126468511612341e+07,2.452417822951637208e+04,2.744126468511612341e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.747363377379720509e+08,-2.578328864538366164e+32,-6.876220367947812766e+30,4.808102048053482593e+32,3.143524079448748982e+22,3.726290656615790694e+27,0.000000000000000000e+00,2.638637424576870453e+38,7.783758945290474588e+35,1.000000000000000000e+04,1.435185548551945089e+02,1.068214409350914066e+05
1.440000000000000000e+02,2.178957421236668690e+00,8.624739409070169784e+20,-3.474106847866117231e+00,5.246215555736363708e-11,0.000000000000000000e+00,2.749472737123307586e+07,2.452417822951637208e+04,2.749472737123307586e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.750764653790964782e+08,-2.604651072042928329e+32,-7.323425031993271555e+30,4.903971740954461409e+32,3.181114418973636978e+22,3.708778897824652155e+27,0.000000000000000000e+00,2.628397803051352556e+38,7.708333511733286125e+35,1.000000000000000000e+04,1.442418053480629681e+02,1.070293709237652511e+05
1.445000000000000000e+02,2.164995024800240309e+00,8.575030125845010186e+20,-2.824344313926576699e+00,5.394650246814385191e-11,0.000000000000000000e+00,2.754829412349650264e+07,2.452417822951637208e+04,2.754829412349650264e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.754172550852140486e+08,-2.628259241575356975e+32,-7.783000264455970903e+30,4.984762443363584897e+32,3.211974083587462293e+22,3.688986141276112220e+27,0.000000000000000000e+00,2.618290921445573345e+38,7.634289375766814326e+35,1.000000000000000000e+04,1.448635450382069791e+02,1.072377056521599443e+05
1.450000000000000000e+02,2.153661697404201991e+00,8.535672620400980787e+20,-2.162663510019716462e+00,5.514654923543923812e-11,0.000000000000000000e+00,2.760196514447315782e+07,2.452417822951637208e+04,2.760196514447315782e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.757587081450471580e+08,-2.648954045715819575e+32,-8.252409740758705276e+30,5.048980638314693725e+32,3.235468949176888118e+22,3.666470022962682754e+27,0.000000000000000000e+00,2.608206728750495587e+38,7.560821379599485709e+35,1.000000000000000000e+04,1.453783927938164311e+02,1.074464459081092500e+05
1.455000000000000000e+02,2.144991592273570724e+00,8.506822542945628979e+20,-1.493216394007462755e+00,5.603195152671263286e-11,0.000000000000000000e+00,2.765574063712409139e+07,2.452417822951637208e+04,2.765574063712409139e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.761008258498263955e+08,-2.666570795337058896e+32,-8.728889339838612227e+30,5.095424363054421157e+32,3.251312877761286111e+22,3.641481517254724068e+27,0.000000000000000000e+00,2.598229459361802236e+38,7.488494681110551611e+35,1.000000000000000000e+04,1.457821286263455818e+02,1.076555924809802382e+05
1.460000000000000000e+02,2.139001787659417175e+00,8.488568159671152804e+20,-8.203769325950329705e-01,5.658039028121659184e-11,0.000000000000000000e+00,2.770962080480542779e+07,2.452417822951637208e+04,2.770962080480542779e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.764436094932960272e+08,-2.680984898617299758e+32,-9.209502321328656430e+30,5.123239790293393462e+32,3.259178787698076392e+22,3.613868402788706917e+27,0.000000000000000000e+00,2.588306919401158870e+38,7.416970742905741216e+35,1.000000000000000000e+04,1.460718302545324150e+02,1.078651461616766755e+05
