family,mass_msun,status,t_sf_myr,t_quench_myr,quench_lower_bound_myr,max_r_over_R0,wall_seconds
fig5_mc1,146779926.76220676,numerical_failure,,,,,0.2579404041171074
fig5_mc1,215443469.00318867,numerical_failure,,,,,0.26991304010152817
fig5_mc1,316227766.01683795,numerical_failure,,,,,0.09567028284072876
fig5_mc1,464158883.3612773,numerical_failure,,,,,0.09667280688881874
fig5_mc1,681292069.0579622,numerical_failure,,,,,0.10308170691132545
fig5_mc1,1000000000.0,numerical_failure,,,,,0.09813279286026955
fig5_mc1,1467799267.6220675,numerical_failure,,,,,0.09686469286680222
fig5_mc1,2154434690.0318866,numerical_failure,,,,,0.10624021664261818
fig5_mc1,3162277660.1683793,numerical_failure,,,,,0.10202079266309738
fig5_mc1,4641588833.612773,numerical_failure,,,,,0.10946865752339363
fig5_mc1,6812920690.579622,numerical_failure,,,,,0.11091861501336098
fig5_mc1,10000000000.0,numerical_failure,,,,,0.1054014042019844
fig5_mc1,14677992676.220675,numerical_failure,,,,,0.10614583268761635
fig5_mc1,21544346900.31878,numerical_failure,,,,,0.1090891845524311
fig5_mc1,31622776601.683792,numerical_failure,,,,,0.11815404891967773
fig5_mc1,46415888336.12772,numerical_failure,,,,,0.10849402099847794
fig5_mc1,68129206905.795944,numerical_failure,,,,,0.11479409411549568
fig5_mc1,100000000000.0,numerical_failure,,,,,0.11983322352170944
fig5_mc1,146779926762.20676,numerical_failure,,,,,0.12019791081547737
fig5_mc1,215443469003.18777,numerical_failure,,,,,0.12821610644459724
fig5_mc1,316227766016.83795,numerical_failure,,,,,0.13682008907198906
fig5_mc1,464158883361.2773,numerical_failure,,,,,0.13876140490174294
fig5_mc1,681292069057.9595,numerical_failure,,,,,0.14488523826003075
fig5_mc1,1000000000000.0,numerical_failure,,,,,0.15516524016857147
fig5_mc1,1467799267622.0676,numerical_failure,,,,,0.1902148611843586
fig5_mc1,2154434690031.878,numerical_failure,,,,,0.18833839148283005
fig5_mc1,3162277660168.3794,numerical_failure,,,,,0.2749875895678997
fig5_mc1,4641588833612.772,not_launched_within_window,,,,1.0,0.22944344580173492
fig5_mc1,6812920690579.595,not_launched_within_window,,,,1.0,0.229824461042881
fig5_mc1,10000000000000.0,not_launched_within_window,,,,1.0,0.22527817264199257
fig5_mc5,100000000.0,numerical_failure,,,,,0.0718325637280941
fig5_mc5,146779926.76220676,numerical_failure,,,,,0.07057883590459824
fig5_mc5,215443469.00318867,numerical_failure,,,,,0.06949714198708534
fig5_mc5,316227766.01683795,numerical_failure,,,,,0.07014667242765427
fig5_mc5,464158883.3612773,numerical_failure,,,,,0.07490631937980652
fig5_mc5,681292069.0579622,numerical_failure,,,,,0.07838829606771469
fig5_mc5,1000000000.0,numerical_failure,,,,,0.07954985275864601
fig5_mc5,1467799267.6220675,numerical_failure,,,,,0.08530855178833008
fig5_mc5,2154434690.0318866,numerical_failure,,,,,0.08958853408694267
fig5_mc5,3162277660.1683793,numerical_failure,,,,,0.09335731342434883
fig5_mc5,4641588833.612773,numerical_failure,,,,,0.09818712249398232
fig5_mc5,6812920690.579622,numerical_failure,,,,,0.09661512076854706
fig5_mc5,10000000000.0,numerical_failure,,,,,0.10007045790553093
fig5_mc5,14677992676.220675,numerical_failure,,,,,0.10528114438056946
fig5_mc5,21544346900.31878,numerical_failure,,,,,0.10283589363098145
fig5_mc5,31622776601.683792,numerical_failure,,,,,0.10708072409033775
fig5_mc5,46415888336.12772,numerical_failure,,,,,0.10698462277650833
fig5_mc5,68129206905.795944,numerical_failure,,,,,0.10597657412290573
fig5_mc5,100000000000.0,numerical_failure,,,,,0.10838614031672478
fig5_mc5,146779926762.20676,numerical_failure,,,,,0.1125330962240696
fig5_mc5,215443469003.18777,numerical_failure,,,,,0.11778151616454124
fig5_mc5,316227766016.83795,numerical_failure,,,,,0.11796199157834053
fig5_mc5,464158883361.2773,numerical_failure,,,,,0.1349061317741871
fig5_mc5,681292069057.9595,numerical_failure,,,,,0.14085673168301582
fig5_mc5,1000000000000.0,numerical_failure,,,,,0.13379155844449997
fig5_mc5,1467799267622.0676,numerical_failure,,,,,0.1444658376276493
fig5_mc5,2154434690031.878,numerical_failure,,,,,0.1622532568871975
fig5_mc5,3162277660168.3794,numerical_failure,,,,,0.18391422927379608
fig5_mc5,4641588833612.772,numerical_failure,,,,,0.1737796775996685
fig5_mc5,6812920690579.595,numerical_failure,,,,,0.19677822291851044
fig5_mc5,10000000000000.0,not_launched_within_window,,,,1.0,0.23369034752249718
fig8_f001_c1,100000000.0,completed_cycle,5.599836353178653,297.46478892895925,,5.6332392911598,0.8588404580950737
fig8_f001_c1,146779926.76220676,completed_cycle,6.596757886969649,271.57880570776774,,4.586894786573349,0.803569883108139
fig8_f001_c1,215443469.00318867,completed_cycle,7.783772452899176,248.5887119923863,,3.7606296884064907,0.7165187709033489
fig8_f001_c1,316227766.01683795,completed_cycle,9.199888271785644,227.98214463045008,,3.1177901218494575,0.681188303977251
fig8_f001_c1,464158883.3612773,completed_cycle,10.893240092878509,209.35419135643667,,2.6246997091189828,0.6433399096131325
fig8_f001_c1,681292069.0579622,numerical_failure,,,,,0.12157557532191277
fig8_f001_c1,1000000000.0,numerical_failure,,,,,0.11942385882139206
fig8_f001_c1,1467799267.6220675,numerical_failure,,,,,0.1250949203968048
fig8_f001_c1,2154434690.0318866,numerical_failure,,,,,0.1278994120657444
fig8_f001_c1,3162277660.1683793,numerical_failure,,,,,0.13997717946767807
fig8_f001_c1,4641588833.612773,numerical_failure,,,,,0.14558501541614532
fig8_f001_c1,6812920690.579622,numerical_failure,,,,,0.16578805074095726
fig8_f001_c1,10000000000.0,numerical_failure,,,,,0.15982336923480034
fig8_f001_c1,14677992676.220675,numerical_failure,,,,,0.17075683921575546
fig8_f001_c1,21544346900.31878,numerical_failure,,,,,0.19273218885064125
fig8_f001_c1,31622776601.683792,not_launched_within_window,,,,1.0,0.22979805618524551
fig8_f001_c1,46415888336.12772,not_launched_within_window,,,,1.0,0.2227114401757717
fig8_f001_c1,68129206905.795944,not_launched_within_window,,,,1.0,0.22285546362400055
fig8_f001_c1,100000000000.0,not_launched_within_window,,,,1.0,0.22273476421833038
fig8_f001_c1,146779926762.20676,not_launched_within_window,,,,1.0,0.22842338681221008
fig8_f001_c1,215443469003.18777,not_launched_within_window,,,,1.0,0.2215702012181282
fig8_f001_c1,316227766016.83795,not_launched_within_window,,,,1.0,0.21815135329961777
fig8_f001_c1,464158883361.2773,not_launched_within_window,,,,1.0,0.22825228422880173
fig8_f001_c1,681292069057.9595,not_launched_within_window,,,,1.0,0.2223413921892643
fig8_f001_c1,1000000000000.0,not_launched_within_window,,,,1.0,0.22275948151946068
fig8_f001_c1,1467799267622.0676,not_launched_within_window,,,,1.0,0.2215288132429123
fig8_f001_c1,2154434690031.878,not_launched_within_window,,,,1.0,0.21976405754685402
fig8_f001_c1,3162277660168.3794,not_launched_within_window,,,,1.0,0.25105058401823044
fig8_f001_c1,4641588833612.772,not_launched_within_window,,,,1.0,0.22576884925365448
fig8_f001_c1,6812920690579.595,not_launched_within_window,,,,1.0,0.2198617234826088
fig8_f001_c1,10000000000000.0,not_launched_within_window,,,,1.0,0.22497545555233955
fig8_f001_c01,100000000.0,completed_cycle,6.164914160088999,105.45686994632553,,1.7549128529499978,0.3786242716014385
fig8_f001_c01,146779926.76220676,completed_cycle,7.266335994849112,96.10317689983049,,1.5913634116252018,0.3431466110050678
fig8_f001_c01,215443469.00318867,completed_cycle,8.578863895398015,72.3993615415366,,1.456899999625805,0.28596803545951843
fig8_f001_c01,316227766.01683795,numerical_failure,,,,,0.11669310927391052
