time_myr,analytic_z6_msun,z3_chabrier_growth1,z3_chabrier_growth0,z3_topheavy_growth1,z3_topheavy_growth0,z6_chabrier_growth1,z6_chabrier_growth0,z6_topheavy_growth1,z6_topheavy_growth0,z9_chabrier_growth1,z9_chabrier_growth0,z9_topheavy_growth1,z9_topheavy_growth0
2.850000000000000000e+01,9.636215202063288879e+10,9.736284413788690186e+10,1.026820961651019440e+11,7.620217165188779297e+11,8.034057812081950684e+11,1.299429983824343872e+11,1.616483631765791931e+11,1.017498857338955322e+12,1.264152924789231689e+12,1.295287430013984680e+11,2.221710770451489563e+11,1.015580239874206421e+12,1.736409219228552734e+12
2.900000000000000000e+01,1.003123117105766296e+11,1.014250014355280151e+11,1.070668490748833771e+11,7.925482337157315674e+11,8.363690007128105469e+11,1.350601454238423157e+11,1.686720983186948242e+11,1.055895992368090576e+12,1.316946477539764648e+12,1.339659782942520752e+11,2.320351973232237549e+11,1.048752565837501221e+12,1.810537145561098389e+12
2.950000000000000000e+01,1.043527072738652344e+11,1.055809636783416595e+11,1.115589196009092102e+11,8.237162672934060059e+11,8.700708101283305664e+11,1.402779005233492126e+11,1.758750425677572937e+11,1.094966690909082397e+12,1.370977467588741455e+12,1.384546969357395020e+11,2.421638881034415283e+11,1.082235351788958008e+12,1.886498793863184326e+12
3.000000000000000000e+01,1.084838181805613556e+11,1.098311747884629822e+11,1.161590735046507721e+11,8.555268434086104736e+11,9.045143010653049316e+11,1.455960516268766479e+11,1.832587818235502014e+11,1.134706916553257812e+12,1.426253301781306885e+12,1.429934919953965454e+11,2.525600416041631775e+11,1.116016906836757812e+12,1.964309126383750000e+12
3.050000000000000000e+01,1.127061183252218628e+11,1.141760711121143494e+11,1.208680710767487946e+11,8.879809358799709473e+11,9.397025187037360840e+11,1.510143734241866760e+11,1.908248975000299072e+11,1.175112566142726318e+12,1.482781331085205078e+12,1.475809586911981506e+11,2.632265535912159424e+11,1.150085626205606445e+12,2.043983075146725586e+12
3.100000000000000000e+01,1.170200761830752106e+11,1.186160815220628662e+11,1.256866672145773926e+11,9.210794673787252197e+11,9.756384628168621826e+11,1.565326276245207520e+11,1.985749666231605530e+11,1.216179472226217285e+12,1.540568851972570068e+12,1.522156949427921143e+11,2.741663235095625305e+11,1.184429994469033691e+12,2.125535543624256104e+12
3.150000000000000000e+01,1.214261549593495331e+11,1.231516274418792114e+11,1.306156114164689789e+11,9.548233102188209229e+11,1.012325088372089844e+12,1.621505631287065125e+11,2.065105617951832275e+11,1.257903404970752197e+12,1.599623107128920410e+12,1.568963018155282593e+11,2.853822544271149292e+11,1.219038588174889893e+12,2.208981407471044434e+12
3.200000000000000000e+01,1.259248127321547546e+11,1.277831233919818268e+11,1.356556483363163147e+11,9.892132896690982666e+11,1.049765308844284790e+12,1.678679168739599304e+11,2.146332520617611389e+11,1.300280077311588623e+12,1.659951290536229980e+12,1.616213845713584595e+11,2.968772542556968994e+11,1.253900081357186279e+12,2.294335521451561523e+12
3.250000000000000000e+01,1.305165025892967834e+11,1.325109769622171631e+11,1.408075177251447449e+11,1.024250184416233032e+12,1.087961996487176636e+12,1.736844139296395569e+11,2.229446027948754883e+11,1.343305146367501221e+12,1.721560547677208252e+12,1.663895530058453369e+11,3.086542355856035767e+11,1.289003247456110596e+12,2.381612719502800781e+12
3.300000000000000000e+01,1.352016727593694305e+11,1.373355889295684357e+11,1.460719545285049438e+11,1.059934727729258911e+12,1.126917983361531006e+12,1.795997677796583252e+11,2.314461758265752563e+11,1.386974215746233398e+12,1.784457976961858643e+12,1.711994219470477295e+11,3.207161158745672607e+11,1.324336961978512695e+12,2.470827816529690918e+12
3.350000000000000000e+01,1.399807667374494934e+11,1.422573535254255676e+11,1.514496891456982727e+11,1.096267609313208618e+12,1.166636063112642822e+12,1.856136807938679199e+11,2.401395298450815430e+11,1.431282838707975098e+12,1.848650632372946777e+12,1.760496119114924011e+11,3.330658180106321411e+11,1.359890205837622559e+12,2.561995611943695801e+12
3.400000000000000000e+01,1.448542234056934204e+11,1.472766586601214600e+11,1.569414476446136475e+11,1.133249476915878906e+12,1.207118992493177734e+12,1.917258446393862305e+11,2.490262207212953796e+11,1.476226520975396484e+12,1.914145525714181396e+12,1.809387496874147339e+11,3.457062707799041748e+11,1.395652068256113037e+12,2.655130892660936523e+12
3.450000000000000000e+01,1.498224771491165161e+11,1.523938858147624207e+11,1.625479516184650574e+11,1.170880936349215088e+12,1.248369491183107910e+12,1.979359402636534119e+11,2.581078012566732788e+11,1.521800721491349365e+12,1.980949626111154785e+12,1.858654685202678223e+11,3.586404085126598511e+11,1.431611747735343750e+12,2.750248432205890137e+12
3.500000000000000000e+01,1.548859579668134460e+11,1.576094103729574585e+11,1.682699185174481812e+11,1.209162553565732422e+12,1.290390243831166992e+12,2.042436384380635986e+11,2.673858217001336060e+11,1.568000855784979492e+12,2.049069863112520020e+12,1.908284087903753662e+11,3.718711718241727905e+11,1.467758555289106689e+12,2.847362994944146484e+12
3.550000000000000000e+01,1.600450915788641968e+11,1.629236018646245728e+11,1.741080618872967224e+11,1.248094856279717529e+12,1.333183901616471924e+12,2.106486001836541138e+11,2.768618301164829102e+11,1.614822298719473877e+12,2.118513129028490234e+12,1.958262185665451050e+11,3.854015081481630859e+11,1.504081917012400391e+12,2.946489339253488281e+12
3.600000000000000000e+01,1.653002995291501770e+11,1.683368237412726440e+11,1.800630911015715027e+11,1.287678333402390381e+12,1.376753081451262207e+12,2.171504765995615234e+11,2.865373719342142944e+11,1.662260384442562012e+12,2.189286277450018799e+12,2.008575536203697205e+11,3.992343711004180298e+11,1.540571374099350830e+12,3.047642215256931641e+12
