mass_msun,alpha1.35_mc0.2,alpha1.35_mc5,alpha1.35_mc10,alpha2.35_mc0.2,alpha2.35_mc5,alpha2.35_mc10
1.598788291943525341e-01,9.507017378031668020e-02,3.312476771653479153e-108,0.000000000000000000e+00,4.431675519360005921e+00,5.489514118674607047e-106,0.000000000000000000e+00
1.610241329186102022e-01,9.570084018720871610e-02,5.407188954879965177e-107,3.656085779225224427e-322,4.429343966541442690e+00,8.897184594001821165e-105,7.907520661689150940e-320
1.621776411101348014e-01,9.631791678722276262e-02,8.550078311533933105e-106,1.608406006753886062e-318,4.426196878430608272e+00,1.396854391044823058e-103,3.462974688012939793e-316
1.633394125422296395e-01,9.692129060321345857e-02,1.310102937193411768e-104,6.429271017176951821e-315,4.422245261216623646e+00,2.125134663036307488e-102,1.374407460319278133e-312
1.645095064092247372e-01,9.751085698909472965e-02,1.945954527918645740e-103,2.338725833632813949e-311,4.417500424934702075e+00,3.134106228148828629e-101,4.964014866102530598e-309
1.656879823294933329e-01,9.808651955564622049e-02,2.802885072635020210e-102,7.750203755236838651e-308,4.411973966638853994e+00,4.482149162297728433e-100,1.633303417969674770e-305
1.668749003484890081e-01,9.864819009007755324e-02,3.916290357178876752e-101,2.342194112361955694e-304,4.405677753735159463e+00,6.218074026494854446e-99,4.900908851240545166e-302
1.680703209418054622e-01,9.919578846963711394e-02,5.309961809491193311e-100,6.461942885363569706e-301,4.398623907493679930e+00,8.370904595989920578e-98,1.342507886436647426e-298
1.692743050182577702e-01,9.972924256954675271e-02,6.988807246988024935e-99,1.629232850253917462e-297,4.390824786755888276e+00,1.093916183528327734e-96,3.360755195015593917e-295
1.704869139229856501e-01,1.002484881655445331e-01,8.932158578146036154e-98,3.757744593197081800e-294,4.382292971853603447e+00,1.388153202772865552e-95,7.696281941087501785e-292
1.717082094405793513e-01,1.007534688313158483e-01,1.108910167852975408e-96,7.936602254475383997e-291,4.373041248754402588e+00,1.711107639559436218e-94,1.613943460269391658e-288
1.729382537982275259e-01,1.012441358310898071e-01,1.337722777553478687e-95,1.536524334442344665e-287,4.363082593447475510e+00,2.049496007061803783e-93,3.102366720926836626e-285
1.741771096688878862e-01,1.017204480076758927e-01,1.568582276608634017e-94,2.729424087599969234e-284,4.352430156582950183e+00,2.386097843433051368e-92,5.471730518060846143e-282
1.754248401744804842e-01,1.021823716662125375e-01,1.788380445915567728e-93,4.453010859079277436e-281,4.341097248376784457e+00,2.701101146418958795e-91,8.863544399635599344e-279
1.766815088891037222e-01,1.026298804538961079e-01,1.983181037164069021e-92,6.678935238640830311e-278,4.329097323792361784e+00,2.974015897418986488e-90,1.319960371240674125e-275
