logT,logLambdaN,logLambdahd,ne_nH
7.559999999999999609e+00,-2.268690000000000140e+01,-2.260450000000000159e+01,1.209000000000000075e+00
7.599999999999999645e+00,-2.267689999999999984e+01,-2.259450000000000003e+01,1.209000000000000075e+00
7.639999999999999680e+00,-2.266550000000000153e+01,-2.258310000000000173e+01,1.209000000000000075e+00
7.679999999999999716e+00,-2.265309999999999846e+01,-2.257069999999999865e+01,1.209000000000000075e+00
7.719999999999999751e+00,-2.263970000000000127e+01,-2.255730000000000146e+01,1.209000000000000075e+00
7.759999999999999787e+00,-2.262580000000000169e+01,-2.254339999999999833e+01,1.209000000000000075e+00
7.799999999999999822e+00,-2.261110000000000042e+01,-2.252870000000000061e+01,1.209000000000000075e+00
7.839999999999999858e+00,-2.259639999999999915e+01,-2.251399999999999935e+01,1.209000000000000075e+00
7.879999999999999893e+00,-2.258160000000000167e+01,-2.249919999999999831e+01,1.209000000000000075e+00
7.919999999999999929e+00,-2.256680000000000064e+01,-2.248440000000000083e+01,1.209000000000000075e+00
7.959999999999999964e+00,-2.255189999999999984e+01,-2.246950000000000003e+01,1.209000000000000075e+00
8.000000000000000000e+00,-2.253669999999999973e+01,-2.245429999999999993e+01,1.209000000000000075e+00
8.039999999999999147e+00,-2.252159999999999940e+01,-2.243919999999999959e+01,1.209000000000000075e+00
8.080000000000000071e+00,-2.250619999999999976e+01,-2.242370000000000019e+01,1.209100000000000064e+00
8.119999999999999218e+00,-2.249119999999999919e+01,-2.240869999999999962e+01,1.209100000000000064e+00
8.160000000000000142e+00,-2.247530000000000072e+01,-2.239280000000000115e+01,1.209100000000000064e+00
