fig5_mc1 M=3.16e+09: completed_cycle; SF=3.931320609939205; quench=358.0557729402652; 0.709s; cached=False
fig5_mc1 M=4.64e+09: completed_cycle; SF=4.590172899525076; quench=323.67418863560255; 0.643s; cached=False
fig5_mc1 M=6.81e+09: completed_cycle; SF=5.367952998440312; quench=330.60741089429473; 0.668s; cached=False
fig5_mc1 M=1e+10: completed_cycle; SF=6.287369744646026; quench=300.07419201948596; 0.601s; cached=False
fig5_mc1 M=1.47e+10: completed_cycle; SF=7.375765464556264; quench=272.93970133648526; 0.566s; cached=False
fig5_mc1 M=2.15e+10: completed_cycle; SF=8.666395499604935; quench=248.9620924041873; 0.526s; cached=False
fig5_mc1 M=3.16e+10: completed_cycle; SF=10.199772581151482; quench=227.56568180490814; 0.479s; cached=False
fig5_mc1 M=4.64e+10: completed_cycle; SF=12.025615093570778; quench=208.25722588945558; 0.442s; cached=False
fig5_mc1 M=6.81e+10: completed_cycle; SF=14.205461477405684; quench=190.79473657511647; 0.454s; cached=False
fig5_mc1 M=1e+11: completed_cycle; SF=16.81619746636637; quench=156.26976988831905; 0.360s; cached=False
fig5_mc1 M=1.47e+11: completed_cycle; SF=19.955034169970258; quench=141.343059338823; 0.350s; cached=False
fig5_mc1 M=2.15e+11: completed_cycle; SF=23.74675001992574; quench=128.75250049244326; 0.351s; cached=False
fig5_mc1 M=3.16e+11: completed_cycle; SF=28.35447054238048; quench=100.82245815035114; 0.286s; cached=False
fig5_mc1 M=4.64e+11: completed_cycle; SF=33.99671561464455; quench=90.65731520965974; 0.282s; cached=False
fig5_mc1 M=6.81e+11: completed_cycle; SF=40.97544100113032; quench=66.62441202905536; 0.258s; cached=False
fig5_mc1 M=1e+12: completed_cycle; SF=49.725416349797314; quench=57.29386482553366; 0.234s; cached=False
fig5_mc1 M=1.47e+12: completed_cycle; SF=61.12735896490697; quench=36.08916385054824; 0.235s; cached=False
fig5_mc1 M=2.15e+12: completed_cycle; SF=78.77259493453056; quench=24.36808250146568; 0.224s; cached=False
fig5_mc1 M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.191s; cached=False
fig5_mc1 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.199s; cached=False
fig5_mc1 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.200s; cached=False
fig5_mc1 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.188s; cached=False
fig5_mc5 M=1e+08: completed_cycle; SF=0.7112651650724453; quench=664.3894356830048; 1.291s; cached=False
fig5_mc5 M=1.47e+08: completed_cycle; SF=0.8079314337301914; quench=612.5728985221244; 1.225s; cached=False
fig5_mc5 M=2.15e+08: completed_cycle; SF=0.9207981199446544; quench=561.6751839457694; 1.087s; cached=False
fig5_mc5 M=3.16e+08: completed_cycle; SF=1.052696965922449; quench=511.9184739701666; 1.021s; cached=False
fig5_mc5 M=4.64e+08: completed_cycle; SF=1.2070112967254494; quench=463.82285452373276; 0.890s; cached=False
fig5_mc5 M=6.81e+08: completed_cycle; SF=1.3877309550741288; quench=535.2561008999717; 1.055s; cached=False
fig5_mc5 M=1e+09: completed_cycle; SF=1.5996133987078547; quench=486.4278501864866; 0.937s; cached=False
fig5_mc5 M=1.47e+09: completed_cycle; SF=1.8483076679806014; quench=439.6458442349822; 0.854s; cached=False
fig5_mc5 M=2.15e+09: completed_cycle; SF=2.140501657139103; quench=395.65508643410743; 0.787s; cached=False
fig5_mc5 M=3.16e+09: completed_cycle; SF=2.4842066018074966; quench=416.8707951320132; 0.819s; cached=False
fig5_mc5 M=4.64e+09: completed_cycle; SF=2.888977442693234; quench=376.28816584070165; 0.743s; cached=False
fig5_mc5 M=6.81e+09: completed_cycle; SF=3.3662610288325028; quench=339.4595357359938; 0.689s; cached=False
fig5_mc5 M=1e+10: completed_cycle; SF=3.9297885124202754; quench=346.29383438188574; 0.706s; cached=False
fig5_mc5 M=1.47e+10: completed_cycle; SF=4.596094263456252; quench=314.07355637637244; 0.660s; cached=False
fig5_mc5 M=2.15e+10: completed_cycle; SF=5.385142833327623; quench=285.5115834917199; 0.613s; cached=False
fig5_mc5 M=3.16e+10: completed_cycle; SF=6.3211951850373245; quench=260.8406704312873; 0.565s; cached=False
fig5_mc5 M=4.64e+10: completed_cycle; SF=7.433790406737218; quench=262.53376086488976; 0.556s; cached=False
fig5_mc5 M=6.81e+10: completed_cycle; SF=8.759159705069333; quench=219.9608134198795; 0.482s; cached=False
fig5_mc5 M=1e+11: completed_cycle; SF=10.34210597901268; quench=200.96144629266368; 0.448s; cached=False
fig5_mc5 M=1.47e+11: completed_cycle; SF=12.238382967515221; quench=184.20631006692946; 0.425s; cached=False
fig5_mc5 M=2.15e+11: completed_cycle; SF=14.518156635622153; quench=150.74332842532522; 0.373s; cached=False
fig5_mc5 M=3.16e+11: completed_cycle; SF=17.270880937871258; quench=137.49630800430873; 0.344s; cached=False
fig5_mc5 M=4.64e+11: completed_cycle; SF=20.612392502194396; quench=108.29149817892933; 0.301s; cached=False
fig5_mc5 M=6.81e+11: completed_cycle; SF=24.695578347209494; quench=97.61342160684438; 0.285s; cached=False
fig5_mc5 M=1e+12: completed_cycle; SF=29.727433817324428; quench=88.45979984029493; 0.271s; cached=False
fig5_mc5 M=1.47e+12: completed_cycle; SF=35.997568109040344; quench=64.92543222973127; 0.242s; cached=False
fig5_mc5 M=2.15e+12: completed_cycle; SF=43.9291904770991; quench=57.02417530055385; 0.250s; cached=False
fig5_mc5 M=3.16e+12: completed_cycle; SF=54.17958914357049; quench=47.02926580760187; 0.241s; cached=False
fig5_mc5 M=4.64e+12: completed_cycle; SF=68.75226409908717; quench=25.684297190317224; 0.226s; cached=False
fig5_mc5 M=6.81e+12: completed_cycle; SF=93.79825221241012; quench=14.87762569407407; 0.235s; cached=False
fig5_mc5 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.246s; cached=False
fig8_f001_c1 M=1e+08: completed_cycle; SF=5.961762928451997; quench=315.0674419899378; 0.651s; cached=False
fig8_f001_c1 M=1.47e+08: completed_cycle; SF=6.995321799882109; quench=286.2494358160161; 0.601s; cached=False
fig8_f001_c1 M=2.15e+08: completed_cycle; SF=8.222336279371998; quench=260.74267481929473; 0.549s; cached=False
fig8_f001_c1 M=3.16e+08: completed_cycle; SF=9.682215096734138; quench=238.1360227285912; 0.528s; cached=False
fig8_f001_c1 M=4.64e+08: completed_cycle; SF=11.42360406177327; quench=217.83631038978456; 0.480s; cached=False
fig8_f001_c1 M=6.81e+08: completed_cycle; SF=13.507050004914884; quench=199.51850583883342; 0.476s; cached=False
fig8_f001_c1 M=1e+09: completed_cycle; SF=16.008812348809776; quench=182.86038759914953; 0.425s; cached=False
fig8_f001_c1 M=1.47e+09: completed_cycle; SF=19.026117911937558; quench=148.34596872788123; 0.375s; cached=False
fig8_f001_c1 M=2.15e+09: completed_cycle; SF=22.684935415562055; quench=135.2364421914519; 0.361s; cached=False
fig8_f001_c1 M=3.16e+09: completed_cycle; SF=27.1519000548881; quench=122.16852191948726; 0.363s; cached=False
fig8_f001_c1 M=4.64e+09: completed_cycle; SF=32.65292343901311; quench=96.02213439566381; 0.303s; cached=False
fig8_f001_c1 M=6.81e+09: completed_cycle; SF=39.50455399817613; quench=85.55015562908912; 0.300s; cached=False
