fig2 M=1e+08: completed_cycle; SF=5.599836353178653; quench=297.46478892895925; 0.821s; cached=True
fig8_f001_c005 M=3.16e+11: not_launched_within_window; SF=None; quench=None; 0.217s; cached=False
fig8_f001_c005 M=4.64e+11: not_launched_within_window; SF=None; quench=None; 0.221s; cached=False
fig8_f001_c005 M=6.81e+11: not_launched_within_window; SF=None; quench=None; 0.221s; cached=False
fig8_f001_c005 M=1e+12: not_launched_within_window; SF=None; quench=None; 0.216s; cached=False
fig8_f001_c005 M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.225s; cached=False
fig8_f001_c005 M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.220s; cached=False
fig8_f001_c005 M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.222s; cached=False
fig8_f001_c005 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.222s; cached=False
fig8_f001_c005 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.220s; cached=False
fig8_f001_c005 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.227s; cached=False
fig8_f001_c0005 M=1e+08: numerical_failure; SF=None; quench=None; 0.122s; cached=False
fig8_f001_c0005 M=1.47e+08: numerical_failure; SF=None; quench=None; 0.136s; cached=False
fig8_f001_c0005 M=2.15e+08: numerical_failure; SF=None; quench=None; 0.128s; cached=False
fig8_f001_c0005 M=3.16e+08: numerical_failure; SF=None; quench=None; 0.138s; cached=False
fig8_f001_c0005 M=4.64e+08: numerical_failure; SF=None; quench=None; 0.137s; cached=False
fig8_f001_c0005 M=6.81e+08: numerical_failure; SF=None; quench=None; 0.152s; cached=False
fig8_f001_c0005 M=1e+09: numerical_failure; SF=None; quench=None; 0.167s; cached=False
fig8_f001_c0005 M=1.47e+09: numerical_failure; SF=None; quench=None; 0.172s; cached=False
fig8_f001_c0005 M=2.15e+09: numerical_failure; SF=None; quench=None; 0.196s; cached=False
fig8_f001_c0005 M=3.16e+09: not_launched_within_window; SF=None; quench=None; 0.235s; cached=False
fig8_f001_c0005 M=4.64e+09: not_launched_within_window; SF=None; quench=None; 0.224s; cached=False
